时间,方向,OpId,命令,长度,摘要,Hex
2026-03-09 15:09:16.600,RAW~,1,NAK,0,"RAW_RX +15 bytes","7E 6C 00 62 00 00 05 00 11 00 00 00 00 44 A0"
2026-03-09 15:09:16.600,EVT*,-1,KEY_EVT,5,"KEY_REMOVED (钥匙拿走)","7E 6C 00 62 00 00 05 00 11 00 00 00 00 44 A0"
2026-03-09 15:09:16.879,RAW~,1,NAK,0,"RAW_RX +15 bytes","7E 6C 00 63 00 00 05 00 11 01 00 00 00 D1 62"
2026-03-09 15:09:16.879,EVT*,-1,NAK,0,"RX drain reason=KEY_PLACED drainBytes=0 recvBufSizeBefore=0 recvBufSizeAfter=0","--"
2026-03-09 15:09:16.879,EVT*,-1,KEY_EVT,5,"KEY_PLACED (钥匙放上), drainBytes=0","7E 6C 00 63 00 00 05 00 11 01 00 00 00 D1 62"
2026-03-09 15:09:16.884,EVT*,-1,NAK,0,"KEY_STABLE window start (key placed, 600ms)","--"
2026-03-09 15:09:17.485,TX>,1,SET_COM,2,"SET_COM send","7E 6C FF 04 00 00 02 00 0F 01 1C 11"
2026-03-09 15:09:17.536,EVT*,-1,NAK,0,"KEY_STABLE_PRESENT","--"
2026-03-09 15:09:17.539,EVT*,-1,NAK,0,"钥匙已就绪，可发送 Q_TASK/DEL","--"
2026-03-09 15:09:17.542,RAW~,1,NAK,0,"RAW_RX +12 bytes","7E 6C FF 64 00 00 02 00 5A 0F A7 20"
2026-03-09 15:09:17.542,RX<,1,ACK,2,"ACK for SET_COM","7E 6C FF 64 00 00 02 00 5A 0F A7 20"
2026-03-09 15:09:34.597,EVT*,-1,NAK,0,"RX drain reason=pre-send Q_TASK drainBytes=0 recvBufSizeBefore=0 recvBufSizeAfter=0","--"
2026-03-09 15:09:34.597,TX>,2,Q_TASK,17,"Q_TASK(all) send","7E 6C FF 05 00 00 11 00 04 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF F3 26"
2026-03-09 15:09:34.609,RAW~,2,NAK,0,"RAW_RX +32 bytes","7E 6C 01 05 FF 00 16 00 04 01 02 80 89 F9 F4 37 2F 1C 00 00 00 00 00 00 00 00 02 00 FF FF A1 CB"
2026-03-09 15:09:34.609,EVT*,-1,Q_TASK,0,"Q_TASK RX observed frame header 7E6C","--"
2026-03-09 15:09:34.609,RX<,2,Q_TASK,22,"Q_TASK resp: count=1, first=02 80 89 F9 F4 37 2F 1C","7E 6C 01 05 FF 00 16 00 04 01 02 80 89 F9 F4 37 2F 1C 00 00 00 00 00 00 00 00 02 00 FF FF A1 CB"
2026-03-09 15:09:34.615,EVT*,-1,NAK,0,"RX drain reason=pre-send I_TASK_LOG drainBytes=0 recvBufSizeBefore=0 recvBufSizeAfter=0","--"
2026-03-09 15:09:34.615,TX>,3,I_TASK_LOG,17,"I_TASK_LOG send","7E 6C FF 06 01 00 11 00 05 02 80 89 F9 F4 37 2F 1C 00 00 00 00 00 00 00 00 C9 4F"
